dbpedia_id	dbpedia_label	inpe_id
Barão_de_Melgaço,_Mato_Grosso	Barão de Melgaço	Barao de Melgaço
Barcarena,_Pará	Barcarena (Pará)	Barcarena
Barcelos,_Amazonas	Barcelos (Amazonas)	Barcelos
Barra_do_Bugres	Barra do Bugres	Barra do Bugres
Barreirinha	Barreirinha	Barreirinha
Belém	Belém (Pará)	Belem
Belterra,_Pará	Belterra	Belterra
Bernardo_Sayão	Bernardo Sayão	Bernardo Sayao
Beruri	Beruri	Beruri
Alto_Boa_Vista	Alto Boa Vista	Boa Vista
Boa_Vista_do_Ramos	Boa Vista do Ramos	Boa Vista do Ramos
Boca_do_Acre	Boca do Acre	Boca do Acre
Bom_Jardim,_Maranhão	Bom Jardim (Maranhão)	Bom Jardim
Bom_Jesus_das_Selvas	Bom Jesus das Selvas	Bom Jesus das Selvas
Bom_Jesus_do_Araguaia	Bom Jesus do Araguaia	Bom Jesus do Araguaia
Bom_Jesus_do_Tocantins,_Tocantins	Bom Jesus do Tocantins (Tocantins)	Bom Jesus do Tocantins
Bonfim,_Roraima	Bonfim (Roraima)	Bonfim
Borba,_Amazonas	Borba (Amazonas)	Borba
Bragança,_Pará	Bragança (Pará)	Bragança
Brasil_Novo	Brasil Novo (Pará)	Brasil Novo
Abufari_Biological_Reserve	Reserva Biológica do Abufari	Brasileia
Brasnorte	Brasnorte	Brasnorte
Brejo_Grande_do_Araguaia	Brejo Grande do Araguaia	Brejo Grande do Araguaia
Breu_Branco	Breu Branco	Breu Branco
Bujari	Bujari	Bujari
Buriticupu	Buriticupu	Buriticupu
Buritis,_Rondônia	Buritis (Rondônia)	Buritis
Caapiranga	Caapiranga	Caapiranga
Cabixi	Cabixi	Cabixi
Cacaulândia	Cacaulândia	Cacaulandia
Cáceres,_Mato_Grosso	Cáceres (Mato Grosso)	Caceres
Cachoeira_do_Arari	Cachoeira do Arari	Cachoeira do Arari
Cachoeira_do_Piriá	Cachoeira do Piriá	Cachoeira do Piria
Cacoal	Cacoal	Cacoal
Calçoene	Calçoene	Calçoene
Cametá	Cametá	Cameta
Campo_Novo_de_Rondônia	Campo Novo de Rondônia	Campo Novo de Rondonia
Canaã_dos_Carajás	Canaã dos Carajás	Canaa dos Carajas
Canabrava_do_Norte	Canabrava do Norte	Canabrava do Norte
Canarana,_Mato_Grosso	Canarana (Mato Grosso)	Canarana
Candeias_do_Jamari	Candeias do Jamari	Candeias do Jamari
Cândido_Mendes,_Maranhão	Cândido Mendes	Candido Mendes
Cantá	Cantá	Canta
Canutama	Canutama	Canutama
Capitão_Poço	Capitão Poço	Capitao Poço
Capixaba,_Acre	Capixaba (Acre)	Capixaba
Carauari	Carauari	Carauari
Careiro	Careiro	Careiro
Careiro_da_Várzea	Careiro da Várzea	Careiro da Varzea
Carlinda	Carlinda	Carlinda
Caroebe	Caroebe	Caroebe
Carutapera	Carutapera	Carutapera
Castanhal,_Pará	Castanhal	Castanhal
Castanheira,_Mato_Grosso	Castanheira (Mato Grosso)	Castanheira
Castanheiras	Castanheiras	Castanheiras
Centro_Novo_do_Maranhão	Centro Novo do Maranhão	Centro Novo do Maranhao
Centro_do_Guilherme	Centro do Guilherme	Centro do Guilherme
Cerejeiras	Cerejeiras	Cerejeiras
Chaves,_Pará	Chaves (Pará)	Chaves
Chupinguaia	Chupinguaia	Chupinguaia
Cidelândia	Cidelândia	Cidelandia
Cláudia	Cláudia (Mato Grosso)	Claudia
Coari	Coari	Coari
Codajás	Codajás	Codajas
Colíder	Colíder	Colider
Colméia	Colméia (Tocantins)	Colmeia
Colniza	Colniza	Colniza
Colorado_do_Oeste	Colorado do Oeste	Colorado do Oeste
Comodoro	Comodoro (Mato Grosso)	Comodoro
Conceição_do_Araguaia	Conceição do Araguaia	Conceiçao do Araguaia
Concórdia_do_Pará	Concórdia do Pará	Concordia do Para
Confresa	Confresa	Confresa
Conquista_d'Oeste	Conquista d'Oeste	Conquista D'oeste
Corumbiara	Corumbiara	Corumbiara
Costa_Marques	Costa Marques	Costa Marques
Cotriguaçu	Cotriguaçu (MT)	Cotriguaçu
Cruzeiro_do_Sul,_Acre	Cruzeiro do Sul (Acre)	Cruzeiro do Sul
Cujubim	Cujubim	Cujubim
Cumaru_do_Norte	Cumaru do Norte	Cumaru do Norte
Curionópolis	Curionópolis	Curionopolis
Curralinho	Curralinho	Curralinho
Curuá	Curuá (Pará)	Curua
Curuçá	Curuçá	Curuça
Curvelândia	Curvelândia	Curvelandia
Darcinópolis	Darcinópolis	Darcinopolis
Denise,_Mato_Grosso	Denise (Mato Grosso)	Denise
Dom_Eliseu	Dom Eliseu	Dom Eliseu
Eirunepé	Eirunepé	Eirunepe
Eldorado_dos_Carajás	Eldorado dos Carajás	Eldorado dos Carajas
Envira	Envira	Envira
Epitaciolândia	Epitaciolândia	Epitaciolandia
Esperantina,_Tocantins	Esperantina (Tocantins)	Esperantina
Espigão_d'Oeste	Espigão d'Oeste	Espigao D'oeste
Faro,_Pará	Faro (Pará)	Faro
Feijó,_Acre	Feijó (Acre)	Feijo
Feliz_Natal	Feliz Natal (Mato Grosso)	Feliz Natal
Floresta_do_Araguaia	Floresta do Araguaia	Floresta do Araguaia
Garrafão_do_Norte	Garrafão do Norte	Garrafao do Norte
Gaúcha_do_Norte	Gaúcha do Norte	Gaucha do Norte
Glória_d'Oeste	Glória d'Oeste	Gloria D'oeste
Godofredo_Viana	Godofredo Viana	Godofredo Viana
Goianésia_do_Pará	Goianésia do Pará	Goianesia do Para
Goianorte	Goianorte	Goianorte
Governador_Jorge_Teixeira	Governador Jorge Teixeira	Governador Jorge Teixeira
Governador_Nunes_Freire	Governador Nunes Freire	Governador Nunes Freire
Grajaú,_Maranhão	Grajaú (Maranhão)	Grajau
Guajará	Guajará (Amazonas)	Guajara
Guajará-Mirim	Guajará-Mirim	Guajara-Mirim
Guarantã_do_Norte	Guarantã do Norte	Guaranta do Norte
Gurupá	Gurupá	Gurupa
Humaitá,_Amazonas	Humaitá (Amazonas)	Humaita
Igarapé-Miri	Igarapé-Miri	Igarape-Miri
Imperatriz	Imperatriz (Maranhão)	Imperatriz
Ipiranga_do_Norte	Ipiranga do Norte	Ipiranga do Norte
Ipixuna	Ipixuna	Ipixuna
Ipixuna_do_Pará	Ipixuna do Pará	Ipixuna do Para
Iracema,_Roraima	Iracema (Roraima)	Iracema
Iranduba	Iranduba	Iranduba
Itacoatiara,_Amazonas	Itacoatiara	Itacoatiara
Itaipava_do_Grajaú	Itaipava do Grajaú	Itaipava do Grajau
Itaituba	Itaituba	Itaituba
Itamarati	Itamarati	Itamarati
Itanhangá	Itanhangá	Itanhanga
Itapecuru_Mirim	Itapecuru-Mirim	Itapecuru Mirim
Itapiranga,_Amazonas	Itapiranga (Amazonas)	Itapiranga
Itaporã_do_Tocantins	Itaporã do Tocantins	Itapora do Tocantins
Itapuã_do_Oeste	Itapuã do Oeste	Itapua do Oeste
Itaúba	Itaúba (Mato Grosso)	Itauba
Itinga_do_Maranhão	Itinga do Maranhão	Itinga do Maranhao
Itupiranga	Itupiranga	Itupiranga
Jacareacanga	Jacareacanga	Jacareacanga
Jacundá	Jacundá (Pará)	Jacunda
Jaru	Jaru	Jaru
Jauru	Jauru	Jauru
Ji-Paraná	Ji-Paraná	Ji-Parana
João_Lisboa	João Lisboa	Joao Lisboa
Jordão,_Acre	Jordão (Acre)	Jordao
Juara	Juara	Juara
Juína	Juína	Juina
Juruá,_Amazonas	Juruá	Jurua
Juruena	Juruena	Juruena
Juruti,_Pará	Juruti	Juruti
Jutaí	Jutaí	Jutai
Lábrea	Lábrea	Labrea
Lambari_d'Oeste	Lambari d'Oeste	Lambari D'oeste
Laranjal_do_Jari	Laranjal do Jari	Laranjal do Jari
Lucas_do_Rio_Verde	Lucas do Rio Verde	Lucas do Rio Verde
Luís_Domingues	Luís Domingues	Luis Domingues
Macapá	Macapá	Macapa
Machadinho_d'Oeste	Machadinho d'Oeste	Machadinho D'oeste
Manacapuru	Manacapuru	Manacapuru
Manaquiri	Manaquiri	Manaquiri
Manaus	Manaus	Manaus
Mâncio_Lima	Mâncio Lima	Mancio Lima
Manicoré	Manicoré	Manicore
Manoel_Urbano	Manoel Urbano	Manoel Urbano
